"full_name","a","e","i","om","w","q","ad","period","H","diameter","ma","tp"
"265482 (2005 EE)",1.129,0.3277,6.17,110.78,284.75,0.759,1.50,1.2,21.21,,214.47,2460777.55
"267131 (2000 EK26)",2.41,0.6573,15.65,126.39,305.54,0.826,3.99,3.74,18.21,,240.69,2461053.37
"267221 (2001 AD2)",1.04,0.6598,1.64,210.54,111.95,0.354,1.73,1.06,19.85,0.562,235.31,2460734.69
"267337 (2001 VK5)",1.269,0.5140,19.43,54.22,263.93,0.617,1.92,1.43,18.06,0.439,64.72,2460506.61
"267494 (2002 JB9)",2.719,0.7843,46.76,70.21,278.00,0.586,4.85,4.48,16.18,,341.38,2460685.17
"267720 (2003 CA)",1.379,0.7196,21.15,126.17,234.82,0.387,2.37,1.62,18.93,,185.74,2460886.90
"267729 (2003 FC5)",1.917,0.6087,5.83,188.76,271.26,0.750,3.08,2.65,18.46,,64.82,2460425.95
"269690 (1996 RG3)",2.001,0.6037,3.58,158.05,300.27,0.793,3.21,2.83,18.47,0.888,297.31,2460780.53
"275677 (2000 RS11)",1.28,0.3205,17.10,172.16,301.69,0.870,1.69,1.45,19.22,,146.18,2460385.66
"276033 (2002 AJ129)",1.37,0.9149,15.44,138.01,211.04,0.117,2.62,1.6,18.78,,85.46,2460461.40
"277475 (2005 WK4)",1.011,0.2374,9.84,138.11,74.13,0.771,1.25,1.02,20.22,,83.30,2460514.64
"277570 (2005 YP180)",1.372,0.6170,4.11,288.91,92.47,0.526,2.22,1.61,19.34,0.439,276.63,2460736.49
"279744 (1998 KM3)",1.67,0.6108,4.66,263.02,85.36,0.650,2.69,2.16,19.86,,37.82,2460517.66
"279816 (2000 JE5)",1.238,0.4006,50.74,41.23,285.16,0.742,1.73,1.38,19.27,,202.01,2460821.35
"281375 (2008 JV19)",0.9856,0.2485,7.23,141.96,310.61,0.741,1.23,0.978,20.81,,30.99,2460569.73
"285263 (1998 QE2)",2.421,0.5728,12.88,250.07,345.69,1.034,3.81,3.77,17.28,,9.29,2460564.99
"286080 (2001 TX1)",1.047,0.4825,2.80,159.14,354.18,0.542,1.55,1.07,21.24,,86.91,2460505.97
"288807 (2004 RW164)",1.49,0.3766,36.78,164.93,342.88,0.929,2.05,1.82,18.46,,246.85,2460809.26
"289315 (2005 AN26)",2.32,0.6379,4.92,175.79,208.49,0.840,3.80,3.53,18.51,,238.91,2461034.62
"290772 (2005 VC)",2.085,0.5929,4.49,227.79,290.38,0.849,3.32,3.01,17.47,,27.83,2460515.48
"292220 (2006 SU49)",1.412,0.3117,2.52,303.06,199.10,0.972,1.85,1.68,19.39,,153.84,2460338.65
"294739 (2008 CM)",1.566,0.4080,36.01,279.54,130.69,0.927,2.20,1.96,17.04,0.740,196.87,2460924.83
"297274 (1996 SK)",2.445,0.7905,1.97,195.51,286.33,0.512,4.38,3.82,16.93,1.199,113.57,2460159.87
"297300 (1998 SC15)",1.273,0.4144,16.08,198.68,277.49,0.745,1.80,1.44,19.29,0.320,337.60,2460633.14
"297418 (2000 SP43)",0.8115,0.4669,10.34,350.53,224.46,0.433,1.19,0.731,18.52,0.407,70.52,2460548.19
"301844 (1990 UA)",1.642,0.5260,0.93,104.28,202.58,0.778,2.51,2.1,19.71,0.4,87.51,2460413.60
"302169 (2001 TD45)",0.7966,0.7777,25.37,30.25,212.45,0.177,1.42,0.711,20.00,,199.85,2460716.03
"302831 (2003 FH)",1.389,0.5406,25.80,24.12,274.37,0.638,2.14,1.64,19.12,,5.07,2460592.09
"303450 (2005 BY2)",1.269,0.3306,7.29,74.44,130.28,0.850,1.69,1.43,20.55,0.187,240.46,2460773.91
"304330 (2006 SX217)",1.412,0.3103,21.04,32.60,176.24,0.974,1.85,1.68,18.90,0.780,92.72,2460442.71
"306383 (1993 VD)",0.8758,0.5515,2.07,2.17,254.24,0.393,1.36,0.82,21.49,,6.11,2460595.42
"307005 (2001 XP1)",2.89,0.7528,39.21,268.07,246.31,0.714,5.07,4.91,18.14,,215.45,2461321.11
"308242 (2005 GO21)",0.7533,0.3400,24.93,272.67,156.64,0.497,1.01,0.654,16.27,,164.27,2460491.54
"308635 (2005 YU55)",1.157,0.4305,0.34,35.93,273.56,0.659,1.65,1.24,21.91,0.4,189.35,2460815.93
"310442 (2000 CH59)",0.863,0.4231,3.25,213.44,109.76,0.498,1.23,0.802,19.82,,86.13,2460530.45
"310560 (2001 QL142)",1.049,0.4991,26.60,165.55,72.15,0.526,1.57,1.08,17.80,0.654,267.48,2460701.42
"311044 (2004 BB103)",1.908,0.6220,55.86,271.07,71.49,0.721,3.09,2.63,17.11,,332.19,2460674.84
"311066 (2004 DC)",1.634,0.3996,19.46,74.90,156.37,0.981,2.29,2.09,18.29,,296.12,2460735.84
"312070 (2007 TA19)",0.9539,0.5096,22.63,181.18,58.06,0.468,1.44,0.932,19.41,0.595,176.51,2460433.65
"314082 Dryope (2005 CZ36)",2.235,0.5766,16.18,116.62,139.53,0.946,3.52,3.34,17.50,,272.32,2460897.77
"314212 (2005 NJ1)",2.132,0.6511,6.46,316.16,82.62,0.744,3.52,3.11,18.57,,45.75,2460455.98
"317255 (2002 DJ5)",1.401,0.5678,6.43,347.86,296.19,0.605,2.20,1.66,19.87,,161.26,2460329.25
"325395 (2009 CQ5)",0.9327,0.0914,18.68,278.65,118.24,0.847,1.02,0.901,17.44,,187.75,2460757.93
"326290 Akhenaten (1998 HE3)",0.879,0.4402,3.38,53.44,309.34,0.492,1.27,0.824,21.83,,305.23,2460646.29
"329437 (2002 OA22)",0.9356,0.2432,6.89,174.04,318.64,0.708,1.16,0.905,19.41,,335.65,2460622.86
"329614 (2003 KU2)",2.69,0.6770,5.40,105.21,246.81,0.869,4.51,4.41,17.79,,272.06,2460994.04
"330233 (2006 KV86)",1.543,0.3740,37.08,220.04,153.86,0.966,2.12,1.92,18.82,,90.72,2460424.07
"331876 (2004 CL)",1.284,0.5362,13.31,109.39,274.69,0.596,1.97,1.46,20.56,,123.38,2460418.31
"332446 (2008 AF4)",1.38,0.4101,8.93,109.31,293.35,0.814,1.95,1.62,19.69,,146.62,2460359.30
"333521 (2005 PO)",1.252,0.3731,12.51,300.48,249.55,0.785,1.72,1.4,20.08,,346.44,2460619.78
"333578 (2006 KM103)",1.573,0.3766,11.68,169.45,197.03,0.981,2.17,1.97,20.20,0.204,35.66,2460529.10
